2013-10-29 15:53:18 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:18 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:24 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:24 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:24 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:30 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:30 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:30 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:36 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:36 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:36 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:42 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:42 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:42 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:48 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:48 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:48 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:54 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:54 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:54 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:00 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:00 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:00 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:06 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:06 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:06 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:12 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:12 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:12 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:13  INFO | instances: 0000 (0000 extant + 0000 pending + 0000 terminated)
2013-10-29 15:54:13  INFO |     nodes: 0001 (0000 busy + 0000 idle + 0001 unresponsive)
2013-10-29 15:54:18 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:18 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:18 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:24 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:25 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:25 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:31 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
